strike,tau,implied_vol
220,0.10403832991101986,0.532231240234375
230,0.10403832991101986,0.4445856323242187
235,0.10403832991101986,0.411138701171875
245,0.10403832991101986,0.35742830078125
250,0.10403832991101986,0.33161068786621095
255,0.10403832991101986,0.3099434240722656
260,0.10403832991101986,0.29434909759521477
265,0.10403832991101986,0.2821727056884765
270,0.10403832991101986,0.26892820922851557
275,0.10403832991101986,0.259345785522461
280,0.10403832991101986,0.2520826745605469
290,0.10403832991101986,0.24036404174804685
295,0.10403832991101986,0.23828886718749998
300,0.10403832991101986,0.24109645629882812
305,0.10403832991101986,0.23975369628906246
330,0.10403832991101986,0.28613995117187496
345,0.10403832991101986,0.3232489550781249
190,0.2929500342231348,0.5045215563964844
195,0.2929500342231348,0.48682153808593753
200,0.2929500342231348,0.47376014526367194
205,0.2929500342231348,0.4556939196777344
210,0.2929500342231348,0.439885972290039
215,0.2929500342231348,0.4242000939941406
220,0.2929500342231348,0.4139768075561523
225,0.2929500342231348,0.39642937561035163
230,0.2929500342231348,0.38233039550781245
235,0.2929500342231348,0.37296159271240237
240,0.2929500342231348,0.3599307171630859
245,0.2929500342231348,0.34659466888427726
250,0.2929500342231348,0.3354863815307617
255,0.2929500342231348,0.3251410260009765
260,0.2929500342231348,0.31519239501953117
265,0.2929500342231348,0.30533531585693363
270,0.2929500342231348,0.2978585839843749
275,0.2929500342231348,0.28995461029052727
280,0.2929500342231348,0.2832408102416991
285,0.2929500342231348,0.27866321929931637
290,0.2929500342231348,0.27368890380859373
295,0.2929500342231348,0.2683178637695312
300,0.2929500342231348,0.2662121719360352
305,0.2929500342231348,0.2636182037353516
310,0.2929500342231348,0.2602613037109375
315,0.2929500342231348,0.2587354400634766
320,0.2929500342231348,0.2574537145996094
325,0.2929500342231348,0.25678233459472655
330,0.2929500342231348,0.256843369140625
335,0.2929500342231348,0.25708750732421876
340,0.2929500342231348,0.2580640600585938
345,0.2929500342231348,0.2585523364257813
190,0.4681724845995893,0.47681187255859375
195,0.4681724845995893,0.4644828942871094
200,0.4681724845995893,0.44632511688232424
205,0.4681724845995893,0.43933666137695315
210,0.4681724845995893,0.42636682037353524
215,0.4681724845995893,0.4093381820678711
220,0.4681724845995893,0.4023192092895508
225,0.4681724845995893,0.39722282470703124
230,0.4681724845995893,0.3807129800415039
235,0.4681724845995893,0.36743796630859377
240,0.4681724845995893,0.3568484725952148
245,0.4681724845995893,0.3492191543579102
250,0.4681724845995893,0.3397587997436523
255,0.4681724845995893,0.3298712033081054
260,0.4681724845995893,0.3244086114501953
265,0.4681724845995893,0.31604687866210934
270,0.4681724845995893,0.3075935940551757
275,0.4681724845995893,0.3016274671936035
280,0.4681724845995893,0.295356167602539
285,0.4681724845995893,0.2907938352966308
290,0.4681724845995893,0.28519391571044916
295,0.4681724845995893,0.280707876586914
300,0.4681724845995893,0.2775340802001953
305,0.4681724845995893,0.2742992492675781
310,0.4681724845995893,0.27201045379638666
315,0.4681724845995893,0.2691723474121094
320,0.4681724845995893,0.267860104675293
325,0.4681724845995893,0.2664868273925781
330,0.4681724845995893,0.2652966537475586
335,0.4681724845995893,0.2640454455566406
340,0.4681724845995893,0.2634961346435547
345,0.4681724845995893,0.2630078582763672
190,1.0431211498973305,0.44846132598876953
200,1.0431211498973305,0.42542078491210944
210,1.0431211498973305,0.4035399002075196
220,1.0431211498973305,0.3846191909790039
240,1.0431211498973305,0.360785200805664
250,1.0431211498973305,0.34561811614990234
260,1.0431211498973305,0.33350275878906255
270,1.0431211498973305,0.3225317991638183
280,1.0431211498973305,0.31519239501953117
290,1.0431211498973305,0.306296609954834
300,1.0431211498973305,0.30046781082153323
310,1.0431211498973305,0.29361668304443356
320,1.0431211498973305,0.28881021255493156
330,1.0431211498973305,0.28441572525024406
340,1.0431211498973305,0.2808299456787109
190,1.8863791923340179,0.42636682037353524
195,1.8863791923340179,0.4182644844055175
200,1.8863791923340179,0.4085142156982422
210,1.8863791923340179,0.4030211065673829
220,1.8863791923340179,0.38910523010253906
230,1.8863791923340179,0.3766694413757324
240,1.8863791923340179,0.3657900335693359
250,1.8863791923340179,0.3566043344116211
260,1.8863791923340179,0.3474491525268554
270,1.8863791923340179,0.34001819656372073
280,1.8863791923340179,0.33313655151367194
290,1.8863791923340179,0.32642275146484373
300,1.8863791923340179,0.3209220130157471
310,1.8863791923340179,0.31525342956542957
320,1.8863791923340179,0.31049273498535157
330,1.8863791923340179,0.3060372131347656
340,1.8863791923340179,0.30156643264770505
